time_tag,short_flux,long_flux
2026-03-04 02:47:00+00:00,4.668518727157789e-08,1.7464652728449437e-06
2026-03-04 02:48:00+00:00,4.3583746389685984e-08,1.7304179209531867e-06
2026-03-04 02:49:00+00:00,4.305234568846572e-08,1.71398085058172e-06
2026-03-04 02:50:00+00:00,4.11000868894007e-08,1.6954468264884781e-06
2026-03-04 02:51:00+00:00,4.075847570561564e-08,1.678627654655429e-06
2026-03-04 02:52:00+00:00,3.610676557741499e-08,1.6614210380794248e-06
2026-03-04 02:53:00+00:00,3.5623735072931595e-08,1.635230660212983e-06
2026-03-04 02:54:00+00:00,3.493097722184757e-08,1.615780206520867e-06
2026-03-04 02:55:00+00:00,3.528311154354924e-08,1.5982150216586888e-06
2026-03-04 02:56:00+00:00,3.195416553580799e-08,1.5924308627290884e-06
2026-03-04 02:57:00+00:00,3.238199752786386e-08,1.5846916312511894e-06
2026-03-04 02:58:00+00:00,3.228352341011487e-08,1.5960617929522414e-06
2026-03-04 02:59:00+00:00,9.824141500303085e-08,2.0542272523016436e-06
2026-03-04 03:00:00+00:00,3.3930970744222577e-07,3.6088033539272146e-06
2026-03-04 03:01:00+00:00,3.80498960339537e-07,4.117777280043811e-06
2026-03-04 03:02:00+00:00,3.4406949112053553e-07,3.854311216855422e-06
2026-03-04 03:03:00+00:00,3.436747135765472e-07,3.6962353533454007e-06
2026-03-04 03:04:00+00:00,3.6149532434137654e-07,3.7014876852481393e-06
2026-03-04 03:05:00+00:00,3.769190186631022e-07,3.783872216445161e-06
2026-03-04 03:06:00+00:00,3.7408534581118147e-07,3.847620519081829e-06
2026-03-04 03:07:00+00:00,3.634570759913913e-07,3.888195351464674e-06
2026-03-04 03:08:00+00:00,3.4915484548037057e-07,3.911613930540625e-06
2026-03-04 03:09:00+00:00,3.2808085848046176e-07,3.933255356969312e-06
2026-03-04 03:10:00+00:00,3.120187557215104e-07,3.920997187378816e-06
2026-03-04 03:11:00+00:00,2.9685168101423187e-07,3.900666342815384e-06
2026-03-04 03:12:00+00:00,2.810480452808406e-07,3.884742454829393e-06
2026-03-04 03:13:00+00:00,2.6813859221874736e-07,3.856177954730811e-06
2026-03-04 03:14:00+00:00,2.5422144744879915e-07,3.819638550339732e-06
